source,target,weight
싱글,GAS_STATION,0.2973
*,HOME_LIFE_SERVICE,0.08240000000000001
신혼부부,LARGE_DISCOUNT_STORE,0.11709999999999998
실버,ELECTRONICS_FURNITURE,0.0923
청소년가족,EDUCATION_ACADEMY,0.0771
신혼부부,E_COMMERCE,0.04790000000000001
*,CLOTHING_ACCESSORIES,0.10580000000000002
*,CAR,0.1251
신혼부부,LARGE_DISCOUNT_STORE,0.11709999999999998
싱글,ENTERTAINMENT,0.0626
실버,ENTERTAINMENT,0.0626
*,BEAUTY,0.1236
실버,ELECTRONICS_FURNITURE,0.09230000000000001
실버,TRAVEL,0.17149999999999999
영유아가족,ENTERTAINMENT,0.0626
신혼부부,EDUCATION_ACADEMY,0.0771
청소년가족,EDUCATION_ACADEMY,0.0771
청소년가족,GAS_STATION,0.29730000000000006
싱글,TRAVEL,0.1715
실버,EDUCATION_ACADEMY,0.0771
*,GAS_STATION,0.2973
성인자녀가족,CLOTHING_ACCESSORIES,0.1058
성인자녀가족,E_COMMERCE,0.0479
*,E_COMMERCE,0.0479
신혼부부,ENTERTAINMENT,0.0626
실버,ENTERTAINMENT,0.06259999999999999
신혼부부,HOME_LIFE_SERVICE,0.0824
싱글,DEPARTMENT_STORE,0.1171
영유아가족,LARGE_DISCOUNT_STORE,0.11710000000000001
영유아가족,BEAUTY,0.12359999999999999
영유아가족,HOME_LIFE_SERVICE,0.0824
신혼부부,ELECTRONICS_FURNITURE,0.0923
실버,GAS_STATION,0.2973
*,DEPARTMENT_STORE,0.11709999999999998
*,EDUCATION_ACADEMY,0.0771
*,LARGE_DISCOUNT_STORE,0.1171
청소년가족,CAR,0.1251
신혼부부,E_COMMERCE,0.0479
실버,E_COMMERCE,0.047900000000000005
영유아가족,LARGE_DISCOUNT_STORE,0.1171
영유아가족,TRAVEL,0.1715
신혼부부,ELECTRONICS_FURNITURE,0.09230000000000001
성인자녀가족,LARGE_DISCOUNT_STORE,0.1171
청소년가족,DEPARTMENT_STORE,0.1171
청소년가족,TRAVEL,0.1715
실버,ENTERTAINMENT,0.06259999999999999
싱글,TRAVEL,0.1715
청소년가족,E_COMMERCE,0.04789999999999999
*,ELECTRONICS_FURNITURE,0.09229999999999998
실버,ENTERTAINMENT,0.0626
싱글,E_COMMERCE,0.0479
실버,DEPARTMENT_STORE,0.1171
*,DEPARTMENT_STORE,0.11710000000000001
성인자녀가족,DEPARTMENT_STORE,0.1171
싱글,TRAVEL,0.1715
싱글,E_COMMERCE,0.047900000000000005
신혼부부,TRAVEL,0.1715
실버,E_COMMERCE,0.047900000000000005
영유아가족,CAR,0.1251
영유아가족,CAR,0.1251
*,E_COMMERCE,0.04789999999999999
싱글,CAR,0.1251
청소년가족,ENTERTAINMENT,0.0626
